,site,age,d18c,d18c.se,temp,temp.sd,d18sw,d18sw.se
184,Shilou,3.4754115,-8.825871525,0.25,28.23467273,3.512085312,-7.217981911,0.664522231
185,Shilou,3.526875,-8.633369642,0.25,20.3290982,3.253901648,-8.449324143,0.652200849
186,Shilou,3.548125,-8.469345353,0.25,20.02734683,3.878088812,-8.354639442,0.766257078
187,Shilou,3.665,-8.897225689,0.25,20.80706047,4.288790284,-8.634195459,0.834912407
188,Shilou,3.7638095,-8.449023664,0.25,17.65747401,3.459785307,-8.771731805,0.695538237
189,Shilou,3.915714,-8.84437483,0.25,11.54820511,4.81111848,-10.35903764,0.973037986
190,Shilou,4.164,-8.847461153,0.25,17.85596922,3.670522449,-9.133555171,0.739425988
191,Shilou,4.195812292,-8.949110846,0.25,18.66416797,3.524380604,-9.076632788,0.709528381
192,Shilou,4.51234359,-8.630087939,0.25,18.27091753,3.479391341,-8.830932184,0.70599516
193,Shilou,4.6966,-9.586932462,0.25,22.03747954,3.088023305,-9.09072195,0.630615304
194,Shilou,4.76257971,-9.142215972,0.25,23.38623408,2.947879744,-8.407172178,0.597240707
195,Shilou,4.92691884,-9.316911016,0.25,26.67756133,3.065045701,-7.994899865,0.60205397
196,Shilou,4.98169855,-6.675558973,0.25,27.73274646,3.391179201,-5.154841137,0.65124006
197,Shilou,5.052685897,-9.025706889,0.25,29.10012851,3.813805604,-7.279355957,0.713630309
198,Shilou,5.324908334,-8.602638591,0.25,19.55937123,3.81990712,-8.579404011,0.753067224
199,Shilou,5.470116815,-9.794873469,0.25,15.31506421,3.918365938,-10.56684082,0.79357267
200,Shilou,5.658324064,-8.799891037,0.25,11.43473652,3.780022897,-10.32215995,0.784390955
201,Shilou,5.694517766,-9.240345686,0.25,11.38263124,3.639521116,-10.77899053,0.756346724
202,Shilou,5.809742997,-9.800851036,0.25,11.21675036,3.192223674,-11.35865416,0.673771282
203,Shilou,5.903856019,-9.467269516,0.25,15.20065605,3.242700933,-10.26590491,0.669578648
204,Shilou,5.919541523,-9.320309594,0.25,16.46378656,3.311592626,-9.877540945,0.679270748
205,Shilou,5.927384275,-9.236940055,0.25,17.09535182,3.346038473,-9.676739017,0.680353682
206,Shilou,5.966598034,-9.874014843,0.25,20.25317811,3.518267706,-9.704707185,0.701080651
207,Shilou,5.974440786,-9.088297214,0.25,20.21339892,3.550034693,-8.93499217,0.711804546
208,Shilou,6.005811793,-9.580180892,0.25,20.0542822,3.677102643,-9.45754333,0.724106767
209,Shilou,6.019332911,-9.493078649,0.25,19.9857018,3.731869797,-9.381805579,0.73639802
210,Shilou,6.042046377,-9.350996185,0.25,19.87049695,3.823870461,-9.267691734,0.750372271
211,Shilou,6.064759842,-9.163127441,0.25,19.7552921,3.915871125,-9.120784592,0.776955722
212,Shilou,6.098830041,-9.278665588,0.25,19.58248482,4.053872121,-9.255259934,0.797077091
213,Shilou,6.149935338,-9.324309197,0.25,19.3232739,4.260873615,-9.348449107,0.831997811
214,Shilou,6.172648804,-9.148591152,0.25,16.95488225,3.694764923,-9.605509064,0.743958415
215,Shilou,6.184005536,-9.099295879,0.25,14.69340531,3.077485269,-9.976245606,0.644619584
216,Shilou,6.201040635,-9.090069423,0.25,15.10512028,3.096471128,-9.900509647,0.64725633
217,Shilou,6.2407892,-8.929974674,0.25,16.06578854,3.140771465,-9.555278669,0.646320562
218,Shilou,6.263502666,-9.205051935,0.25,16.61474183,3.166085944,-9.722404681,0.655853194
219,Shilou,6.286216131,-9.167036783,0.25,17.16369512,3.191400423,-9.581724027,0.650226952
220,Shilou,6.291894497,-9.299480312,0.25,17.30093344,3.197729042,-9.688519105,0.655451404
221,Shilou,6.320286329,-8.729589993,0.25,17.98712505,3.22937214,-8.996472137,0.656355132
222,Shilou,6.394105092,-9.024607836,0.25,19.17603442,3.282105782,-9.072133378,0.655981359
223,Shilou,6.42817529,-9.01748503,0.25,19.35376649,3.28803239,-9.016465001,0.665498301
224,Shilou,6.433853657,-9.104339299,0.25,19.3833885,3.289020158,-9.109152932,0.662559312
225,Shilou,6.467923855,-9.158428078,0.25,19.56112056,3.294946767,-9.128424954,0.660938698
226,Shilou,6.501994053,-9.015592473,0.25,19.08676234,3.299808301,-9.069704964,0.66522928
227,Shilou,6.519029152,-8.818236198,0.25,17.67328286,3.300317789,-9.143996845,0.669939778
228,Shilou,6.592847915,-8.831314734,0.25,11.54820511,3.302525572,-10.33442894,0.69506844
229,Shilou,6.609883014,-9.146489443,0.25,11.46462255,3.215079848,-10.67475829,0.679491412
230,Shilou,6.638274846,-8.936845624,0.25,11.32531828,3.069336974,-10.47866446,0.658196229
231,Shilou,6.662484211,-8.894911426,0.25,12.1194259,3.103067366,-10.28147609,0.65783282
232,Shilou,6.707468421,-9.115175398,0.25,14.50040398,3.322453558,-10.04757948,0.690873812
233,Shilou,6.720321052,-9.29896641,0.25,15.18068343,3.385135327,-10.09305199,0.698207616
234,Shilou,6.744590526,-9.199428615,0.25,16.46524716,3.503496578,-9.757526146,0.716588528
235,Shilou,6.768381403,-9.134723565,0.25,17.72447916,3.619523734,-9.453998112,0.720613918
236,Shilou,6.774329123,-9.39184095,0.25,18.03928716,3.648530523,-9.651736304,0.734103141
237,Shilou,6.841251428,-9.17834311,0.25,20.17765728,3.783984358,-9.034433766,0.738799125
238,Shilou,6.864129243,-8.904673881,0.25,20.14625987,3.72659635,-8.756261905,0.742800263
239,Shilou,6.911053949,-9.222441573,0.25,20.0818606,3.608887757,-9.101664907,0.716334844
240,Shilou,6.924461008,-9.310191299,0.25,20.06346081,3.575256731,-9.189899347,0.71449636
241,Shilou,6.951275126,-9.154599334,0.25,19.31925063,3.513585566,-9.176895986,0.69966869
242,Shilou,6.957978655,-9.381669648,0.25,18.86582668,3.500280896,-9.478721676,0.699115546
243,Shilou,7.004903361,-8.865025719,0.25,15.69185899,3.407148202,-9.561487632,0.692330315
244,Shilou,7.031717479,-9.134601209,0.25,13.87816318,3.35392952,-10.18333378,0.698271885
