"","site","SID","age","count","d13","d13.se","d18","d18.se","D47","D47.se","temp","temp.sd","d18sw","d18sw.se"
"18","Jiaxian","5225",6.9406,3,-7.14996666666667,0.0403616567218609,-9.6943,0.0228586963757775,0.608856666666667,0.0111692648718605,20.0413117218954,3.53477276826641,-9.5774912553461,0.650883233106443
"19","Lantian","LT2",2.797,6,-6.19,0.0138906845933128,-9.41254687985911,0.02044917385256,0.634394,0.00678758982752102,12.1402169897786,3.07778363723821,-10.7928135784163,0.599834843083261
"20","Lantian","LT12",3.088,6,-7.41,0.0798219668952145,-9.54717663309381,0.0887694214858213,0.625697,0.0110692866256141,13.696901292562,3.31625931893802,-10.6263066712064,0.644267837517521
"21","Lantian","LT23",3.684,4,-9.13,0.0751837877741498,-10.29725668683,0.0422481756369626,0.606139333333333,0.00796687946717185,20.933816053949,4.35555672637389,-10.0113170725413,0.797886007392124
"22","Lantian","LT29",4.505,5,-8.91,0.00632724148192696,-11.0761859734022,0.0606035835176463,0.5907088,0.0129859221867374,26.0742469930378,3.66346600025742,-9.86632817155453,0.654138703266031
"23","Lantian","LT41",5.31,3,-9.34,0.00832289648961585,-10.1145448788686,0.0297885432952941,0.6090265,0.0130631829358953,19.9951277679129,3.80979850265004,-10.0002605864012,0.705586748202201
"24","Lantian","LT46",5.6,3,-8.61,0.278234877657578,-10.9223233982768,0.0436008664573832,0.636473333333333,0.0238805698168569,11.5187011774421,4.00643341737083,-12.4270823351072,0.793975673090943
"25","Lantian","LT49",6.163,3,-8.31,0.0214696975287594,-10.3164895087207,0.0337601866264028,0.611255,0.00254159818486976,19.2570086985938,4.31379189679279,-10.3439377855748,0.795144695365224
"26","Shilou","SL27",3.548125,4,-3.73,0.0150985756390901,-8.93172633259232,0.0162490432803887,0.6089115,0.00614304732332959,20.0273468291486,3.87808881178967,-8.81584298589015,0.716984102562911
"27","Shilou","SL31",3.915714,2,-5.82,0.0139337644591416,-9.03750685299101,0.0451546201502588,0.636356,0.00997100000000001,11.5482051108972,4.81111847967998,-10.5567943477151,0.951572569727784
"28","Shilou","SL35",4.51234358952381,5,-5.24,0.0366243119080628,-9.61449150971116,0.0456587563801615,0.6143562,0.0112394721691012,18.2709175280546,3.47939134058419,-9.81110764145519,0.660926222644712
"29","Shilou","SL85",5.05268589715384,5,-5.47,0.0260758548553613,-9.36446482513243,0.067011657570791,0.5820152,0.00777003941688844,29.1001285143084,3.81380560418296,-7.61692370251347,0.673671831203206
"30","Shilou","SL10",5.96659803397297,5,-6.29,0.0142313935377127,-10.2780238649393,0.0452596907966912,0.6081676,0.0054408801640911,20.2531781064095,3.5182677055916,-10.1138926599604,0.652794071538247
"31","Shilou","SL53",6.59284791525,5,-5.22,0.0128353343855391,-9.4894781674218,0.0394137643603034,0.6363556,0.0153555960828618,11.5482051108972,3.3025255721904,-10.9970785573812,0.650848486651469
"32","Shilou","SL72",7.03171747870588,5,-5.76,0.00961983389818182,-9.77797049578188,0.0696465892440676,0.6285784,0.00532584333791372,13.8781631756071,3.35392952031748,-10.8303220888998,0.654105550644329
